fecha,titulo,fuente,tipo_fuente,categoria,ciudad,bogota,url,resumen
2026-03-12,"Nuevo giro en el caso de Tatiana Hernández, joven desaparecida en Cartagena: la buscan en el mar",Pulzo,gratuito,Protección,Cartagena,No,https://www.pulzo.com/nacion/caso-tatiana-hernandez-da-giro-autoridades-intensifican-busqueda-mar-PP5091130,
2026-03-11,Colombia Mayor y Renta Joven: Prosperidad Social realizará la Maratón por las Generaciones,Prosperidad Social,institucional,Protección,Bogotá,Sí,https://prosperidadsocial.gov.co/Noticias/colombia-mayor-y-renta-joven-prosperidad-social-realizara-la-maraton-por-las-generaciones/,"Se trata de una jornada continua de atención telefónica, en la que se resolverán inquietudes que tengan beneficiarias y beneficiarios de estos dos programas de la entidad. El canal telefónico tendrá atención continua por más de 36 horas, mientras..."
2026-03-11,Así fue la despedida de Iván Zuleta a su sobrina Daniela: la joven fue encontrada sin signos vitales en su habitación,Infobae,gratuito,Otra,Valledupar,No,https://www.infobae.com/colombia/2026/03/11/asi-fue-la-despedida-de-ivan-zuleta-a-su-sobrina-daniela-que-habria-sido-encontrada-sin-signos-vitales-en-su-habitacion/,"La partida de la joven Zuleta Gnecco, hija de Fabián Zuleta y nieta de Fabio Zuleta, ha conmovido al mundo del vallenato, reuniendo a familiares y músicos icónicos para despedirla en Valledupar con emotivas muestras de cariño"
2026-03-11,Prosperidad Social inicia entrega de transferencia monetaria de Jóvenes en Paz,Prosperidad Social,institucional,Otra,Bogotá,Sí,https://prosperidadsocial.gov.co/Noticias/prosperidad-social-inicia-entrega-de-transferencia-monetaria-de-jovenes-en-paz/,"Esta transferencia corresponde al ciclo 1 de 2026. Más de 12.000 jóvenes en el país recibirán los recursos. Bogotá D. C., 24 de febrero de 2026. Prosperidad Social realizará este 27 de febrero la transferencia monetaria condicionada para los..."
2026-03-11,Joven rompió el silencio y reveló desgarradores detalles de los feminicidios más brutales del Valle del Cauca,Las2orillas,gratuito,Violencia,Colombia,No,https://www.las2orillas.co/joven-rompio-el-silencio-y-revelo-desgarradores-detalles-de-los-feminicidios-mas-brutales-del-valle-del-cauca/,"Mientras la Fiscalía la señala de disparar contra las víctimas, Angy Pérez asegura que fue obligada a desmembrar los cuerpos bajo la amenaza de perder a su bebéEl artículoJoven rompió el silencio y reveló desgarradores detalles de los feminicidios..."
2026-03-11,Prosperidad Social responde a inquietudes sobre Renta Joven,Prosperidad Social,institucional,Otra,Bogotá,Sí,https://prosperidadsocial.gov.co/Noticias/prosperidad-social-responde-a-inquietudes-sobre-renta-joven/,"Bogotá D. C, 4 de marzo de 2026. Prosperidad Social se permite aclarar a la ciudadanía y, especialmente, a los participantes de Renta Joven algunas dudas e inquietudes que han expresado los beneficiarios en las redes sociales. Prosperidad Social..."
2026-03-11,Maratón por las generaciones atendió a más de 38.000 jóvenes y personas mayores beneficiarias de Prosperidad Social,Prosperidad Social,institucional,Otra,Bogotá,Sí,https://prosperidadsocial.gov.co/Noticias/maraton-por-las-generaciones-atendio-a-mas-de-38-000-jovenes-y-personas-mayores-beneficiarias-de-prosperidad-social/,"Durante 38 horas continuas, se resolvieron inquietudes y dudas a beneficiarias y beneficiarios de los programas Renta Joven y Colombia Mayor. Nueve de cada 10 personas afirmaron haber recibido información clara y efectiva para resolver sus..."
2026-03-10,Jóvenes en San Cristóbal inician su formación en servicio para el sector de la gastronomía,SDIS - Juventud,institucional,Educación,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#79ade27adc,"•24 chicos y chicas iniciaron su camino en la Academia Ñam, en donde se formarán en servicio a la mesa para mejorar sus oportunidades de empleabilidad en el sector de la gastronomía. •La inducción, que tuvo lugar en el Centro de Desarrollo..."
2026-02-27,Bogotá presenta estudio que analiza los factores asociados a la vinculación de adolescentes a conductas punibles,SDIS - Juventud,institucional,Educación,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#fb504c6e8d,"• La vinculación de adolescentes a conductas punibles no responde a una sola causa, sino a la convergencia de factores estructurales, familiares, territoriales y personales que requieren respuestas integrales y no únicamente punitivas. • El consumo..."
2026-02-24,La Academia Ñam llega a San Cristóbal con oportunidades para los jóvenes interesados en el sector de la gastronomía,SDIS - Juventud,institucional,Educación,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#1e64cd90aa,"•El Distrito, en alianza con la Fundación Gastronomía Social, lanzan una nueva convocatoria dirigida a jóvenes de 18 a 30 años interesados en formarse en servicio para el sector de la gastronomía. •Esta formación gratuita ofrece capacitación a..."
2026-02-23,El deporte abrió la puerta a nuevas oportunidades y conexión para los jóvenes de Bogotá,SDIS - Juventud,institucional,Cultura y deporte,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#8b36ede0c2,"• En la localidad de Kennedy se realizó una jornada deportiva con Futsala Colombia, que acercó a los jóvenes la oferta integral de servicios sociales, digitales y educativos en territorio. • En Jóvenes con Oportunidades, más de 18.000 jóvenes han..."
2026-02-19,"Abre 320 becas a jóvenes con proyectos en sus comunidades o entornos, ¿cómo participar?",El Espectador,diario pago,Educación,Bogotá,Sí,https://www.elespectador.com/colombia/mas-regiones/abre-320-becas-a-jovenes-con-proyectos-en-sus-comunidades-o-entornos-como-participar/,"Abren becas para jóvenes en Medellín, Santa Marta, Cartagena y Bogotá. Tendrán formación, mentorías y acceso a redes de liderazgo."
2026-02-19,La primera guardia afro urbana liderada por mujeres surge en Cali,El Espectador,diario pago,Violencia,Cali,No,https://www.elespectador.com/colombia/cali/la-primera-guardia-afro-urbana-liderada-por-mujeres-surge-en-cali/,"En Llano Verde, mujeres desplazadas crearon la primera guardia afro urbana del país para prevenir violencia y proteger a jóvenes."
